Gris ID;Sår ID;Tid;Niveau sårvæv;Sårskorpe;Granulationsvæv;Epithelialisering;Kontraktion;Hyperæmi;Ødem;Eksudat;Eksudattype;Infektionsniveau;;;;;;;;
13;A;2;1;2;2;0;0;1;1;1;1;2;;;;;;;;
13;B;2;1;2;2;0;0;1;1;0;0;2;;;;;;;;
13;C;2;1;2;2;0;0;1;1;1;5;2;;;;;;;;
13;D;2;1;2;2;0;0;1;1;0;0;1;;;;;;;;
13;A;3;1;2;2;0;0;1;1;1;1;2;;;;;;;;
13;B;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
13;C;3;1;2;2;0;0;0;1;0;0;2;;;;;;;;
13;D;3;1;2;2;0;0;1;1;1;1;2;;;;;;;;
13;A;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
13;D;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
13;A;5;2;2;2;0;0;1;1;0;0;2;;;;;;;;
13;D;5;1;2;2;0;0;1;1;0;0;2;;;;;;;;
13;A;6;3;2;1;0;0;0;1;0;0;2;;;;;;;;
13;D;6;1;2;1;0;0;0;0;0;0;2;;;;;;;;
14;A;1;1;1;0;0;0;0;1;1;4;2;;;;;;;;
14;B;1;1;2;0;0;0;0;1;1;1;2;;;;;;;;
14;C;1;1;1;0;0;0;0;1;1;4;2;;;;;;;;
14;D;1;1;1;0;0;0;0;1;1;4;2;;;;;;;;
14;A;2;1;2;0;0;0;1;1;1;1;2;;;;;;;;
14;B;2;1;2;0;0;0;1;1;1;3;3;;;;;;;;
14;C;2;1;2;0;0;0;0;1;1;1;2;;;;;;;;
14;D;2;1;2;0;0;0;1;1;1;4;2;;;;;;;;
14;A;3;1;2;2;0;0;1;1;1;3;3;;;;;;;;
14;B;3;1;2;0;0;0;1;1;1;3;3;;;;;;;;
14;C;3;1;2;0;0;0;1;1;1;1;2;;;;;;;;
14;D;3;1;2;2;0;0;1;1;1;1;2;;;;;;;;
14;A;4;1;2;2;0;0;1;1;0;0;1;;;;;;;;
14;D;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
14;A;5;1;2;2;0;0;1;1;0;0;2;;;;;;;;
14;D;5;1;2;2;0;0;1;1;0;0;2;;;;;;;;
14;A;6;3;2;1;0;0;1;1;0;0;2;;;;;;;;
14;D;6;3;2;1;0;0;1;1;1;3;3;;;;;;;;
15;A;1;1;2;0;0;0;0;0;1;5;1;;;;;;;;
15;B;1;1;2;0;0;0;1;1;0;0;1;;;;;;;;
15;C;1;1;2;0;0;0;1;0;1;1;1;;;;;;;;
15;D;1;1;2;0;0;0;1;1;1;1;2;;;;;;;;
15;A;2;1;2;2;0;0;1;1;0;0;1;;;;;;;;
15;B;2;1;2;0;0;0;1;1;0;0;1;;;;;;;;
15;C;2;1;2;2;0;0;0;1;0;0;1;;;;;;;;
15;D;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
15;A;3;1;2;0;0;0;1;1;0;0;1;;;;;;;;
15;B;3;1;2;0;0;0;1;1;1;5;2;;;;;;;;
15;C;3;1;2;0;0;0;1;1;0;0;1;;;;;;;;
15;D;3;1;2;0;0;0;1;1;1;1;2;;;;;;;;
15;A;4;1;2;2;2;2;0;1;0;0;2;;;;;;;;
15;B;4;1;2;2;2;2;1;1;0;0;2;;;;;;;;
15;C;4;1;2;2;2;2;0;1;0;0;2;;;;;;;;
15;D;4;1;2;2;2;2;1;1;0;0;2;;;;;;;;
15;A;5;1;2;2;2;2;1;1;0;0;2;;;;;;;;
15;D;5;1;2;2;2;0;1;1;0;0;2;;;;;;;;
15;A;6;2;2;2;0;2;1;0;0;0;2;;;;;;;;
15;D;6;2;2;0;0;2;1;0;0;0;2;;;;;;;;
15;A;7;3;2;2;2;2;0;0;0;0;2;;;;;;;;
15;D;7;3;2;2;2;2;0;0;0;0;2;;;;;;;;
15;A;8;3;2;1;1;1;0;0;0;0;1;;;;;;;;
15;D;8;3;2;1;2;1;0;0;0;0;2;;;;;;;;
16;A;1;1;2;0;0;0;0;1;1;1;2;;;;;;;;
16;B;1;1;2;0;0;0;0;0;0;0;2;;;;;;;;
16;C;1;1;2;0;0;0;1;1;1;5;2;;;;;;;;
16;D;1;1;2;0;0;0;1;0;1;2;2;;;;;;;;
16;A;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
16;B;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
16;C;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
16;D;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
16;A;3;1;2;0;0;0;1;1;0;0;2;;;;;;;;
16;B;3;1;2;0;0;0;1;1;0;0;2;;;;;;;;
16;C;3;1;2;0;0;0;1;1;0;0;2;;;;;;;;
16;D;3;1;2;0;0;0;1;1;0;0;2;;;;;;;;
16;A;4;1;2;2;0;0;0;0;0;0;2;;;;;;;;
16;B;4;1;2;2;0;0;0;1;0;0;2;;;;;;;;
16;C;4;1;2;2;0;0;0;0;0;0;2;;;;;;;;
16;D;4;1;2;2;0;0;0;0;0;0;2;;;;;;;;
16;A;5;1;2;0;0;0;0;0;0;0;2;;;;;;;;
16;D;5;3;2;0;0;2;0;0;0;0;2;;;;;;;;
16;A;6;2;2;0;0;2;0;0;0;0;2;;;;;;;;
16;D;6;3;2;2;2;2;0;0;0;0;2;;;;;;;;
16;A;7;3;2;2;2;2;0;0;0;0;2;;;;;;;;
16;D;7;3;2;2;1;1;0;0;0;0;1;;;;;;;;
16;A;8;3;2;1;2;1;0;0;0;0;2;;;;;;;;
16;D;8;3;2;1;1;1;0;0;0;0;1;;;;;;;;
17;A;1;1;1;0;0;0;0;0;1;1;1;;;;;;;;
17;B;1;1;1;0;0;0;0;0;0;0;1;;;;;;;;
17;C;1;1;1;0;0;0;0;1;1;1;2;;;;;;;;
17;D;1;1;1;0;0;0;0;0;1;1;1;;;;;;;;
17;A;2;1;2;2;0;0;1;1;1;1;2;;;;;;;;
17;B;2;1;2;2;0;0;1;1;1;1;2;;;;;;;;
17;C;2;1;2;2;0;0;0;1;1;1;2;;;;;;;;
17;D;2;1;2;2;0;0;1;1;1;1;2;;;;;;;;
17;A;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
17;B;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
17;C;3;1;2;2;0;0;1;1;1;1;2;;;;;;;;
17;D;3;1;2;2;0;0;1;1;1;1;2;;;;;;;;
17;A;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
17;B;4;2;2;2;0;0;1;1;0;0;2;;;;;;;;
17;C;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
17;D;4;1;2;2;0;0;1;1;1;3;3;;;;;;;;
17;A;5;2;2;1;0;0;1;1;0;0;2;;;;;;;;
17;B;5;2;2;1;0;0;1;1;0;0;2;;;;;;;;
17;C;5;1;2;1;0;0;1;1;0;0;2;;;;;;;;
17;D;5;1;2;1;0;0;1;1;1;3;3;;;;;;;;
17;A;6;3;2;1;2;0;0;0;0;0;2;;;;;;;;
17;D;6;1;2;1;2;0;0;1;0;0;2;;;;;;;;
17;A;7;3;2;1;2;2;0;0;0;0;2;;;;;;;;
17;D;7;3;2;1;0;0;0;1;0;0;2;;;;;;;;
17;A;8;3;2;1;2;2;0;0;0;0;2;;;;;;;;
17;D;8;2;2;1;2;2;0;0;0;0;1;;;;;;;;
17;A;9;3;2;1;2;2;0;0;0;0;2;;;;;;;;
17;D;9;2;2;1;2;2;0;0;0;0;2;;;;;;;;
17;A;10;3;2;1;2;1;0;0;0;0;2;;;;;;;;
17;D;10;3;2;1;1;1;0;0;0;0;1;;;;;;;;
18;A;1;1;1;0;0;0;0;1;1;1;2;;;;;;;;
18;B;1;1;1;0;0;0;0;1;1;1;1;;;;;;;;
18;C;1;1;1;0;0;0;0;1;1;1;2;;;;;;;;
18;D;1;1;1;0;0;0;0;1;1;1;1;;;;;;;;
18;A;2;1;2;0;0;0;1;1;1;1;2;;;;;;;;
18;B;2;1;2;2;0;0;1;1;1;1;2;;;;;;;;
