Gris ID;Sår ID;Dag;Længde (cm);Bredde (cm);Dybde (cm);Areal (cm^2);Sårrand (cm);Midte (cm);
34;A;0;2.3;2.3;0.3;4.7111;;;
;B;0;2.2;2.2;0.3;4.3424;;;
;C;0;2;2.1;0.4;4.2673;;;
;D;0;1.8;2.3;0.4;4.2257;;;
35;A;0;2.2;2.3;0.4;4.6005;;;
;B;0;2.2;2.4;0.3;4.9720;;;
;C;0;2;2.2;0.5;4.2054;;;
;D;0;1.8;2.4;0.4;4.4168;;;
36;A;0;2.2;2.3;0.2;4.0729;;;
;B;0;2.3;2.2;0.2;4.5679;;;
;C;0;2.1;2.2;0.3;4.2735;;;
;D;0;2.2;2.3;0.3;3.9070;;;
37;A;0;2.1;2.2;0.4;3.9801;;;
;B;0;2.1;2.3;0.3;4.3696;;;
;C;0;1.9;2.2;0.5;4.3045;;;
;D;0;1.9;2.5;0.4;4.5908;;;
38;A;0;2.1;2.4;0.25;4.5728;;;
;B;0;2;2.3;0.2;4.1614;;;
;C;0;2;2.3;0.4;4.1851;;;
;D;0;1.9;2.2;0.35;3.3606;;;
39;A;0;2.3;2.5;0.4;5.4768;;;
;B;0;2.4;2.3;0.4;;;;
;C;0;2.1;2.5;0.4;4.9658;;;
;D;0;2.4;2.5;0.4;4.6519;;;
40;A;0;2.1;2.5;0.2;4.9353;;;
;B;0;2.2;2.4;0.2;4.3649;;;
;C;0;2.1;2.3;0.35;4.4278;;;
;D;0;1.9;2.2;0.4;3.4106;;;
41;A;0;2.2;2.5;0.4;5.2333;;;
;B;0;2.3;2.5;0.4;5.2087;;;
;C;0;2;2.5;0.45;4.6546;;;
;D;0;2.1;2.45;0.45;4.5060;;;
42;A;0;2.2;2.2;0.2;4.6919;;;
;B;0;2.3;2.5;0.2;4.6287;;;
;C;0;2.2;2.4;0.3;4.6061;;;
;D;0;2;2.2;0.35;3.7557;;;
43;A;0;2.2;2.3;0.2;4.2005;;;
;B;0;2.1;2.3;0.2;4.1145;;;
;C;0;2;2.2;0.3;4.1525;;;
;D;0;2.1;2.1;0.3;3.3633;;;
44;A;0;1.95;2.5;0.5;4.5727;;;
;B;0;2;2.4;0.4;4.4504;;;
;C;0;2;2.3;0.5;4.7775;;;
;D;0;1.9;2.3;0.5;4.2120;;;
45;A;0;2.3;2.2;0.3;4.3481;;;
;B;0;2.2;2.4;0.3;5.0320;;;
;C;0;2.2;2.3;0.4;5.2923;;;
;D;0;2.2;2.2;0.4;3.8608;;;
46;A;0;2.3;2.3;0.2;4.7374;;;
;B;0;2.3;2.3;0.2;4.6910;;;
;C;0;2.2;2.3;0.4;3.7560;;;
;D;0;2.1;2.2;0.3;3.6958;;;
47;A;0;2.1;2.4;0.3;4.5905;;;
;B;0;2.15;2.15;0.3;4.3053;;;
;C;0;1.8;2.2;0.45;3.8899;;;
;D;0;1.9;2.2;0.45;3.8800;;;
48;A;0;2.1;2;0.2;4.0498;;;
;B;0;2.1;2.3;0.2;4.3802;;;
;C;0;1.9;2.1;0.3;3.7332;;;
;D;0;2;2.3;0.3;4.0720;;;
49;A;0;2.2;2.5;0.35;5.2600;;;
;B;0;2.2;2.5;0.3;4.8225;;;
;C;0;2.1;2.1;0.45;4.3892;;;
;D;0;2.1;2.4;0.4;4.0904;;;
50;A;0;2.1;2.4;0.4;4.5944;;;
;B;0;2.2;2.2;0.4;4.8230;;;
;C;0;2;2.4;0.45;4.2032;;;
;D;0;1.9;2.45;0.5;4.1246;;;
1;A;5;2.5;2.8;0;6.3537;0.5;0.5;
;B;5;2;2.2;0;3.8671;0.4;0.3;
;C;5;2.6;2.8;2;6.3591;0.5;0.1;
;D;5;2.5;2.4;0.4;5.0094;0.5;0.3;
2;A;5;2.5;3.1;0.4;6.2392;0.6;0.3;
;B;5;2.2;2.7;0.2;5.5215;0.6;0.4;
;C;5;2.2;2.7;0.3;5.1278;0.4;0.3;
;D;5;2.4;2.5;0.3;5.4695;0.4;0.3;
3;A;5;2.1;2.8;0.5;6.9304;0.9;0.7;
;B;5;2.3;2.6;0.4;5.8919;0.9;0.4;
;C;5;2.5;2.7;0.5;5.5692;0.3;0.1;
;D;5;2.5;2.7;0.4;7.0280;0.4;0.3;
4;A;5;2.4;3.2;0.6;7.2333;0.9;0.6;
;B;5;2.1;3;0.5;6.1580;0.8;0.3;
;C;5;2.5;2.9;0.1;6.1412;0.5;0.4;
;D;5;2.1;2.8;0.3;5.5066;0.5;0.3;
5;A;10;1.9;2.9;-0.2;5.1399;0.7;0.9;
;B;10;2.1;2.5;-0.15;5.0777;0.5;0.5;
;C;10;1.9;2.7;0;5.8420;0.8;0.8;
;D;10;2.2;2.4;-0.4;5.0854;0.7;0.7;
6;A;10;2.3;2.4;;4.5405;0.5;0.5;
;B;10;1.7;1.8;;3.0821;0.6;0.6;
;C;10;1.2;1.9;;2.4491;0.7;0.6;
;D;10;1.7;2;;2.7931;0.6;0.6;
7;A;10;2.4;2.8;-0.2;6.6165;0.8;0.9;
;B;10;1.95;2.3;-0.2;4.2804;0.6;0.7;
;C;10;2.5;2.6;-0.2;6.7127;0.8;0.8;
;D;10;2.3;2.5;-0.3;5.1361;0.8;0.7;
8;A;10;2.1;2.8;;6.0700;0.8;0.6;
;B;10;2.1;2.7;;5.1484;0.8;0.8;
;C;10;1.5;1.8;;2.9843;0.7;0.7;
;D;10;1.3;2.1;;2.4366;0.8;0.7;
9;A;5;2.4;2.8;0.05;5.9749;0.4;0.3;
;B;5;2.6;2.9;0.3;6.8638;1.1;0.6;
;C;5;2.9;2.9;0.2;8.4071;0.5;0.1;
;D;5;2.8;2.7;0.1;7.3705;0.5;0.2;
10;A;5;2.5;2.7;0.5;5.9063;0.6;0.2;
;B;5;2.2;2.1;0;4.3059;0.5;0.5;
;C;5;2.3;2.4;0.3;4.9198;0.4;0.1;
;D;5;2.2;2.3;0.3;4.4350;0.3;0;
11;A;;;;;;;;
;B;;;;;;;;
;C;;;;;;;;
;D;;;;;;;;
12;A;;;;;;;;
;B;;;;;;;;
;C;;;;;;;;
;D;;;;;;;;
13;A;30;0.4;0.5;0;0.0461;0.6;0.6;
;B;30;0.2;0.2;0;0.0162;0.6;0.6;
;C;30;1.05;1.8;0;1.2033;0.7;0.55;
;D;30;1.1;0.7;0;0.3989;0.7;0.6;
14;A;30;0.5;0.6;0;0.1248;0.4;0.3;
;B;30;0.9;1.1;0;0.2843;0.5;0.5;
