Gris ID;Sår ID;Dag;Niveau sårvæv;Sårskorpe;Granulationsvæv;Epithelialisering;Kontraktion;Hyperæmi;Ødem;Eksudat;Eksudattype;Infektionsniveau;
1;A;1;1;0;0;0;0;2;0;1;6;2;
1;B;1;1;0;0;0;0;0;0;1;6;2;
1;C;1;1;0;0;0;0;0;0;1;6;2;
1;D;1;1;0;0;0;0;0;0;1;6;2;
1;A;2;2;1;0;0;0;1;0;1;6;2;
1;B;2;1;0;0;0;0;0;0;1;6;2;
1;C;2;1;0;0;0;0;1;0;1;6;2;
1;D;2;1;0;0;0;0;1;0;1;6;2;
1;A;3;2;1;2;0;0;1;1;1;2;2;
1;B;3;1;1;2;0;0;1;0;1;2;2;
1;C;3;1;1;2;0;0;1;1;1;2;2;
1;D;3;1;1;0;0;0;1;1;1;2;2;
1;A;4;2;1;0;0;0;1;1;1;2;2;
1;B;4;1;2;2;0;0;1;0;0;0;2;
1;C;4;1;1;0;0;0;1;1;1;1;2;
1;D;4;1;1;2;0;0;1;1;1;1;2;
1;A;5;2;1;1;2;0;0;1;1;1;2;
1;B;5;2;2;2;2;0;0;0;0;0;2;
1;C;5;1;1;2;2;0;0;1;1;1;2;
1;D;5;1;2;1;2;0;0;1;1;1;2;
2;A;1;2;0;0;0;0;0;1;1;6;2;
2;B;1;2;0;0;0;0;0;0;1;2;2;
2;C;1;1;0;0;0;0;0;1;1;6;2;
2;D;1;1;0;0;0;0;0;1;1;6;2;
2;A;2;1;1;0;0;0;1;0;1;6;2;
2;B;2;1;0;0;0;0;1;0;1;6;2;
2;C;2;1;0;0;0;0;1;0;1;6;2;
2;D;2;1;0;0;0;0;1;0;1;1;2;
2;A;3;1;2;2;0;0;1;1;0;0;2;
2;B;3;1;2;2;0;0;1;0;1;2;2;
2;C;3;1;2;2;0;0;1;1;1;2;2;
2;D;3;1;1;2;2;0;1;1;1;2;2;
2;A;4;1;2;2;0;0;1;1;0;0;2;
2;B;4;1;2;2;0;0;0;0;0;0;2;
2;C;4;1;2;2;0;0;1;1;0;0;2;
2;D;4;1;2;2;2;0;1;1;0;0;2;
2;A;5;1;2;1;2;0;0;1;1;3;2;
2;B;5;1;2;1;2;0;0;1;1;3;2;
2;C;5;1;2;1;2;0;0;1;0;0;2;
2;D;5;1;2;1;2;0;0;1;0;0;2;
3;A;1;2;0;0;0;0;0;1;1;6;2;
3;B;1;1;0;0;0;0;0;1;1;6;2;
3;C;1;1;0;0;0;0;0;1;1;6;2;
3;D;1;1;1;0;0;0;0;0;1;6;2;
3;A;2;1;0;2;0;0;1;1;1;6;2;
3;B;2;1;0;2;0;0;1;1;1;6;2;
3;C;2;1;0;2;0;0;1;1;1;6;2;
3;D;2;1;0;0;0;0;1;1;1;6;2;
3;A;3;1;1;2;0;0;1;1;1;2;2;
3;B;3;1;1;2;0;0;1;1;0;0;2;
3;C;3;1;0;2;0;0;1;1;1;2;2;
3;D;3;1;0;2;0;0;1;1;0;0;2;
3;A;4;1;2;2;0;0;1;1;0;0;2;
3;B;4;1;2;2;0;0;1;1;0;0;2;
3;C;4;1;2;2;0;0;1;1;0;0;2;
3;D;4;1;2;0;0;0;1;1;0;0;2;
3;A;5;1;2;1;2;0;0;1;1;3;2;
3;B;5;1;2;1;2;0;0;1;1;3;2;
3;C;5;1;2;1;2;0;0;1;0;0;2;
3;D;5;1;2;1;2;0;0;1;0;0;2;
4;A;1;1;1;0;0;0;0;1;1;6;2;
4;B;1;1;1;0;0;0;0;1;1;6;2;
4;C;1;1;1;0;0;0;0;0;1;6;2;
4;D;1;1;0;0;0;0;0;1;1;6;2;
4;A;2;2;0;0;0;0;1;0;1;6;2;
4;B;2;2;0;0;0;0;1;0;1;6;2;
4;C;2;1;1;2;0;0;1;1;0;0;2;
4;D;2;1;0;0;0;0;1;1;1;1;2;
4;A;3;1;1;2;0;0;1;1;1;2;2;
4;B;3;1;1;2;0;0;1;1;1;2;2;
4;C;3;1;2;2;0;0;1;1;0;0;2;
4;D;3;1;1;2;0;0;1;1;1;1;2;
4;A;4;1;2;2;0;0;1;1;0;0;2;
4;B;4;1;2;0;0;0;1;1;1;1;2;
4;C;4;1;2;2;0;0;1;1;0;0;2;
4;D;4;1;2;2;0;0;1;1;0;0;2;
4;A;5;1;2;1;2;0;0;1;0;0;2;
4;B;5;1;2;1;2;0;0;1;0;0;2;
4;C;5;1;2;1;2;0;0;1;0;0;2;
4;D;5;1;2;1;2;0;0;1;0;0;2;
5;A;1;1;0;0;0;0;0;0;1;1;2;
5;B;1;1;0;0;0;0;0;0;1;1;2;
5;C;1;1;0;0;0;0;0;1;1;1;2;
5;D;1;1;0;0;0;0;0;1;1;1;2;
5;A;2;1;0;0;0;0;1;1;1;1;2;
5;B;2;2;0;0;0;0;0;0;0;0;2;
5;C;2;1;0;0;0;0;0;1;1;1;2;
